30848,PO SANTA MARIA CABEZA 177,112,10020.0,NaN,NaN
22,A C SANTIAGO 56 ACERA IMPAR C1,112,22400.0,4484637.20,443420.66
27614,M30PK24.700C EXT C3,111,21980.0,4479988.18,436428.67
12737,CL GASOMETRO 5,109,9690.0,NaN,NaN
1903,AV DE LOS POBLADOS 43 C1,108,21600.0,4470676.26,435494.82
31501,PZ CONDESA DE GAVIA 6,107,9270.0,NaN,NaN
3987,C REAL DE ARGANDA 72 C1,106,21200.0,4469806.48,448469.96
2395,AV MENENDEZ PELAYO 12,105,7510.0,NaN,NaN
3991,C SAN JENARO 2,104,20800.0,4466701.69,440200.76
4020,C YEBENES - SEPULVEDA IMPAR C2,104,20800.0,4472284.80,435709.87
27609,M30PK22.400C EXT C1,102,20400.0,4477854.63,437121.98
25268,F069 AV LOGROÑO,102,15100.0,NaN,NaN
4025,C. BARRIAL - FDO. L. CARRETER,99,19800.0,4479575.82,432850.36
3971,C ODONNELL 65 C2,99,18810.0,4474706.55,443314.23
2658,AV NICETO ALCALA ZAMORA 22 C1,98,19600.0,4482980.23,444820.43
2005,AV ENSANCHE DE VALLECAS 52 C2,98,19600.0,4468582.64,448651.75
3368,AVENIDA DE LOS ANDES 22,98,8820.0,NaN,NaN
27585,M30 PK21.800C INT C2,98,19600.0,4477350.52,437296.78
3293,AVENIDA ABRANTES 15,97,19400.0,4470642.38,438593.49
25267,F067 AV LOGROÑO,94,12300.0,NaN,NaN
29586,PO CASTELLANA 259 C2,94,18470.0,4481195.27,441861.02
1752,AV CARDENAL HERRERA ORIA 83,92,18290.0,4482305.97,440617.58
25522,FTE CARRANTONA ESQ HAC.PAVONES,92,18400.0,4472632.74,446113.77
1100,AV 25 DE SEPTIEMBRE 6,92,18400.0,4477187.61,447037.25
4775,CALLE ZORRILLA 31,91,18200.0,4474252.00,441058.25
2923,AV POBLADOS-EST. ALUCHE F 56,90,17890.0,4470953.31,435542.26
1900,AV DE LOS ANDES 31 C2,89,17800.0,4478612.70,447525.48
3859,C ANTONIO LOPEZ 42,89,17800.0,4471916.36,439625.35
28536,N298 AV CARDENAL HERRERA,89,10000.0,NaN,NaN
1896,AV DE LA ALBUFERA 78,89,17800.0,4471822.12,443723.14
13177,CL GENERAL PARDIÑAS 67,86,7710.0,NaN,NaN
30761,PO RUPERTO CHAPI 1,86,7020.0,NaN,NaN
